"func","file","line","expression","architectures","arm64_call_count","armv7_call_count","total_call_count"
"outputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","1602","cfExt == CF_RGB","arm64","1","0","1"
"outputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","1628","cfExt == Y_ONLY && pSC->m_param.cfColorFormat == Y_ONLY","arm64","1","0","1"
"outputNChannelThumbnail","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","1724","cChannel <= 16","arm64","1","0","1"
"outputNChannelThumbnail","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","1829","0","arm64","1","0","1"
"decodeThumbnail","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","1941","tScale == (size_t)(1U << nBits)","arm64","1","0","1"
"decodeThumbnail","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","2061","0","arm64","1","0","1"
"decodeThumbnail","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","2117","0","arm64","1","0","1"
"decodeThumbnail","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","2171","0","arm64","1","0","1"
"decodeThumbnail","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","2202","0","arm64","1","0","1"
"decodeThumbnail","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","2236","0","arm64","1","0","1"
"decodeThumbnail","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","2267","0","arm64","1","0","1"
"decodeThumbnail","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","2299","0","arm64","1","0","1"
"decodeThumbnail","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","2307","cfExt == Y_ONLY && pSC->m_param.cfColorFormat == Y_ONLY","arm64","1","0","1"
"ReadWMIHeader","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","2967","pSC != NULL","arm64","1","0","1"
"ImageStrDecInit","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","3309","b","arm64","1","0","1"
"ImageStrDecInit","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","3310","b","arm64","1","0","1"
"ImageStrDecInit","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","3311","b","arm64","1","0","1"
"ImageStrDecInit","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","3312","b","arm64","1","0","1"
"ImageStrDecInit","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","3313","b","arm64","1","0","1"
"ImageStrDecInit","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","3413","b","arm64","1","0","1"
"ImageStrDecDecode","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","3442","b","arm64","1","0","1"
"ImageStrDecDecode","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","3608","b","arm64","1","0","1"
"ImageStrDecTerm","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","3625","b","arm64","1","0","1"
"ImageStrDecTerm","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/strdec.c","3628","b","arm64","1","0","1"
"EncodeSignificantAbsLevel","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/segenc.c","60","iAbsLevel > 0","arm64","1","0","1"
"EncodeSignificantAbsLevel","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/segenc.c","70","iFixed < 30","arm64","1","0","1"
"CodeCoeffs","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/segenc.c","862","iModelBits < 16","arm64","1","0","1"
"CodeCoeffs","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/segenc.c","949","iModelBits < 16","arm64","1","0","1"
"PutVLWordEsc","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","509","iEscape <= 0xff && iEscape > 0xfc","arm64","1","0","1"
"ImageStrEncInit","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1397","b","arm64","1","0","1"
"ImageStrEncInit","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1398","b","arm64","1","0","1"
"ImageStrEncInit","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1399","b","arm64","1","0","1"
"ImageStrEncInit","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1400","b","arm64","1","0","1"
"ImageStrEncInit","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1401","b","arm64","1","0","1"
"ImageStrEncInit","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1489","b","arm64","1","0","1"
"ImageStrEncEncode","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1513","b","arm64","1","0","1"
"ImageStrEncEncode","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1553","b","arm64","1","0","1"
"ImageStrEncTerm","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1572","b","arm64","1","0","1"
"ImageStrEncTerm","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1591","b","arm64","1","0","1"
"ImageStrEncTerm","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1592","b","arm64","1","0","1"
"padHorizontally","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1698","cFullChannel <= 16","arm64","1","0","1"
"padHorizontally","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1700","pSC->WMISCP.cChannel <= 16","arm64","1","0","1"
"inputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1856","cChannel <= 16","arm64","1","0","1"
"inputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1899","0","arm64","1","0","1"
"inputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1909","pSC->m_bSecondary == FALSE","arm64","1","0","1"
"inputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","1928","cChannel <= 16","arm64","1","0","1"
"inputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","2003","0","arm64","1","0","1"
"inputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","2086","0","arm64","1","0","1"
"inputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","2140","0","arm64","1","0","1"
"inputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","2178","0","arm64","1","0","1"
"inputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","2215","0","arm64","1","0","1"
"inputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","2251","0","arm64","1","0","1"
"inputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","2288","0","arm64","1","0","1"
"inputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","2296","cfExt == CF_RGB","arm64","1","0","1"
"inputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","2313","cfExt == CF_RGB","arm64","1","0","1"
"inputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","2330","cfExt == CF_RGB","arm64","1","0","1"
"inputMBRow","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/encode/strenc.c","2345","cfExt == Y_ONLY","arm64","1","0","1"
"AdaptDiscriminant","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/adapthuff.c","458","t >= 0","arm64","1","0","1"
"AdaptDiscriminant","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/adapthuff.c","459","t < gMaxTables[iSym]","arm64","1","0","1"
"AdaptDiscriminant","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/adapthuff.c","504","0","arm64","1","0","1"
"PerfTimerStart","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/perfTimerANSI.c","135","FALSE","arm64","1","0","1"
