"binary","architecture","caller_function","caller_address","callsite","func","file","line","expression"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1003338B8","0x1003338b8","0x100333a68","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1474","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100333F64","0x100333f64","0x1003340f4","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1473","_tar == _dst && rctar == rcdst"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100333F64","0x100333f64","0x100334114","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1474","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100334410","0x100334410","0x1003345a0","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1473","_tar == _dst && rctar == rcdst"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100334410","0x100334410","0x1003345c0","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1474","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100334C2C","0x100334c2c","0x100334dbc","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1473","_tar == _dst && rctar == rcdst"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100334C2C","0x100334c2c","0x100334ddc","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1474","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1003350D8","0x1003350d8","0x100335268","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1473","_tar == _dst && rctar == rcdst"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1003350D8","0x1003350d8","0x100335288","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1474","w == rctar.get_width() && h == rctar.get_height()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100335584","0x100335584","0x100335714","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1473","_tar == _dst && rctar == rcdst"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100335584","0x100335584","0x100335734","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1474","w == rctar.get_width() && h == rctar.get_height()"
